TRAAAAW128F429D538,I Didn't Mean To,1,4,218.93179,0.0,92.198,-11.197,0,0.0,Casual,0.4019975433642836
TRAAABD128F429CF47,Soul Deep,6,4,148.03546,0.0,121.274,-9.843,1969,0.0,The Box Tops,0.4174996449709784
TRAAADZ128F9348C2E,Amor De Cabaret,8,1,177.47546,0.0,100.07,-9.689,0,0.0,Sonora Santanera,0.34342837829688244
TRAAAEF128F4273421,Something Girls,0,4,233.40363,0.0,119.293,-9.013,1982,0.0,Adam Ant,0.4542311565706205
TRAAAFD128F92F423A,Face the Ashes,2,4,209.60608,0.0,129.738,-4.501,2007,0.0,Gob,0.40172368550367865
TRAAAMO128F1481E7F,The Moon And I (Ordinary Day Album Version),5,3,267.7024,0.0,147.782,-9.323,0,0.0,Jeff And Sheri Easter,0.385470550555821
TRAAAMQ128F1460CD3,Keepin It Real (Skit),1,1,114.78159,0.0,111.787,-17.302,0,0.0,Rated R,0.2619411773808474
TRAAAPK128E0786D96,Drop of Rain,4,3,189.57016,0.0,101.43,-11.642,0,0.0,Tweeterfriendly Music,0.6055071356905752
TRAAARJ128F9320760,Pink World,4,4,269.81832,0.0,86.643,-13.496,1984,0.0,Planet P Project,0.33227574659906806
TRAAAVG12903CFA543,Insatiable (Instrumental Version),7,4,266.39628,0.0,114.041,-6.697,0,0.0,Clp,0.42270564102939107
TRAAAVO128F93133D4,Young Boy Blues,5,1,218.77506,0.0,146.765,-10.021,0,0.0,JennyAnyKind,0.29626895431146333
TRAABCL128F4286650,The Urgency (LP Version),7,4,245.21098,0.0,117.975,-7.545,0,0.0,Wayne Watson,0.35155586118563925
TRAABDL12903CAABBA,La Culpa,9,4,226.35057,0.0,130.04,-6.632,0,0.0,Andy Andy,0.3794821702804675
TRAABJL12903CDCF1A,Auguri Cha Cha,10,1,191.84281,0.0,137.334,-7.75,0,0.0,Bob Azzam,0.25193652476242323
TRAABJV128F1460C49,Tonight Will Be Alright,3,3,307.3824,0.0,125.197,-8.346,1986,0.0,Lionel Richie,0.5530719914619753
TRAABLR128F423B7E3,Floating,7,4,491.12771,0.0,119.826,-8.576,1987,0.0,Blue Rodeo,0.4479354804795022
TRAABNV128F425CEE1,High Tide,8,5,228.5971,0.0,127.756,-16.11,0,0.0,Richard Souther,0.33080635685585685
