TRDECAE128F4231BD5,OlaSpr,8,3
TRBAGNL12903CBF173,OlaSpr,61,5
TRAUSVP128F149AF3D,OlaSpr,61,4
TRAYBYE12903CE8065,OlaSpr,87,5
TRBKCJT128F930C9D4,OlaSpr,63,3
TRCCRFR128F92FE2EC,JeanieFre,86,3
TRBDAHZ128F9339008,JeanieFre,39,3
TRDOLOG128F425D289,JeanieFre,4,4
TRDMOWV128F931BD12,JeanieFre,42,5
TRBUFFE128F424D10B,JeanieFre,22,3
TRDHICK128F92F8910,HoseaBob,70,4
TRBVQBO12903CE2D4F,HoseaBob,37,5
TRADBSK128F932C1CA,HoseaBob,41,3
TRCUNTW128F14565F2,HoseaBob,88,4
TRBUOZR128F1452C8B,HoseaBob,69,5
TRDMZPY128F14561CE,RimaMah,41,5
TRBWHPX128F93503FC,RimaMah,10,5
TRAFZJD12903CCF76A,RimaMah,49,3
TRDRAAI128F9300CEE,RimaMah,28,4
TRBBVXL128F427C3F2,RimaMah,57,5
TRAWDHI128F4236CF2,MalkaMca,31,3
TRBPLEH128F4264C60,MalkaMca,21,5
TRCCWCH128F42BC6F0,MalkaMca,29,3
TRCTYKY128F4284F1F,MalkaMca,20,3
TRCTQBS128F93402CC,MalkaMca,81,5
TRCJFLT12903D04F50,MeliaHan,84,3
TRCGPNR128F425B034,MeliaHan,36,5
TRDBRHW12903CDEACD,MeliaHan,16,4
TRAHVXE128F9339BAD,MeliaHan,60,4
TRBNABY128F425E58C,MeliaHan,27,4
TRALPAX128F42324FF,RichelleSar,100,5
TRCFAWY128F9334E0C,RichelleSar,61,5
TRBPGFO128F92D8B4B,RichelleSar,62,5
TRAMWEK12903CBBB55,RichelleSar,75,3
TRCCEQQ128F934E797,RichelleSar,44,4
TRDBYFX128F933993C,MignonNar,65,4
TRCLQJB12903CB65CA,MignonNar,7,3
TRDRGGP128F92E55C8,MignonNar,50,3
TRACABS128E0786B0B,MignonNar,7,4
TRCEMIM12903CA4D9E,MignonNar,16,3
TRCJQTU128F933D533,KristeenMut,3,5
TRBADAJ128F92F9E05,KristeenMut,99,5
TRCLXFJ128F4264EB5,KristeenMut,83,3
TRDSXDK12903CE223D,KristeenMut,9,4
TRAAUEO128E0780CB9,KristeenMut,66,5
TRALGWZ128F4241B20,NatalyaBre,18,4
TRCWONW128F931188C,NatalyaBre,50,3
TRBYYMG12903CE61F4,NatalyaBre,38,4
TRBNRNQ128F92F2D75,NatalyaBre,52,5
TRBZGNT128F92C716F,NatalyaBre,93,4
TRDUHTW128F930FD36,VioletteCou,91,4
TRBNLRU128F4228AE7,VioletteCou,19,3
TRDGEZL128F92EF504,VioletteCou,7,5
TRCSWCH128F930473B,VioletteCou,15,4
TRCTPZM128F92CFDC4,VioletteCou,76,4
TRBWSSZ12903D0A495,AbramMcc,74,3
TRBXQNN128F1463466,AbramMcc,84,3
TRDXNTK128F92D8A27,AbramMcc,47,4
TRDPPES128E07989B0,AbramMcc,20,5
TRBZKUU12903CBC210,AbramMcc,14,5
TRAJDKU128F9335656,SheryllHan,56,5
TRALDVD128F42905F3,SheryllHan,72,5
TRAOQMX128F92F7FFA,SheryllHan,92,5
TRBTFOM128F4291152,SheryllHan,83,5
TRASXWF128F4256043,SheryllHan,77,3
TRBAGJB128F92CFB0E,JettaBru,53,3
TRDEACQ128F1464A8E,JettaBru,23,3
TRADOAN128F4266121,JettaBru,3,3
TRANELD128F4250FCF,JettaBru,96,4
TRCPXMH128F42B1AAD,JettaBru,53,5
TRAEQKI12903CD1339,AnglaDan,99,4
TRCTQRB128E078BD4E,AnglaDan,89,5
TRCPDWU128F9323749,AnglaDan,24,4
TRCZEMD128F932247C,AnglaDan,66,3
TRDUOCB128F4265189,AnglaDan,100,5
TRCOVYQ128F933B9FE,TrinhLan,51,5
TRBLWEG128F426D447,TrinhLan,6,5
TRBUSJD128F1466A2F,TrinhLan,61,4
TRCCJYD128F92DE324,TrinhLan,23,5
TRAUDNB128F426D2EA,TrinhLan,49,3
TRBUYXX128F42896E3,SergioPul,7,4
TRASBAK128F9312156,SergioPul,97,5
